"REG_DATE","daily_visit"
"2022-03-24",59
"2022-03-25",59
"2022-03-26",68
"2022-03-27",91
"2022-03-28",73
"2022-03-29",61
"2022-03-30",61
"2022-03-31",57
"2022-04-01",41
"2022-04-02",46
"2022-04-03",64
"2022-04-04",57
"2022-04-05",64
"2022-04-06",49
"2022-04-07",44
"2022-04-08",35
"2022-04-09",66
"2022-04-10",80
"2022-04-11",60
"2022-04-12",51
"2022-04-13",44
"2022-04-14",34
"2022-04-15",34
"2022-04-16",39
"2022-04-17",55
"2022-04-18",48
"2022-04-19",51
"2022-04-20",43
"2022-04-21",47
"2022-04-22",32
"2022-04-23",35
"2022-04-24",53
"2022-04-25",37
"2022-04-26",45
"2022-04-27",50
"2022-04-28",36
"2022-04-29",43
"2022-04-30",29
"2022-05-01",51
"2022-05-03",35
"2022-05-04",39
"2022-05-05",42
"2022-05-06",30
"2022-05-07",64
"2022-05-08",113
"2022-05-09",66
"2022-05-10",46
"2022-05-11",52
"2022-05-12",41
"2022-05-13",27
"2022-05-14",33
"2022-05-15",35
"2022-05-16",94
"2022-05-17",39
"2022-05-18",37
"2022-05-19",38
"2022-05-20",35
"2022-05-21",26
"2022-05-22",37
"2022-05-23",30
"2022-05-24",27
"2022-05-25",12
"2022-05-26",32
"2022-05-27",26
"2022-05-28",24
"2022-05-29",43
"2022-05-30",28
"2022-05-31",30
"2022-06-01",43
"2022-06-02",31
"2022-06-03",18
"2022-06-04",19
"2022-06-05",37
"2022-06-06",25
"2022-06-07",20
"2022-06-08",22
"2022-06-09",23
"2022-06-10",15
"2022-06-11",13
"2022-06-12",39
"2022-06-13",18
"2022-06-14",28
"2022-06-15",39
"2022-06-16",20
"2022-06-17",32
"2022-06-18",25
"2022-06-19",51
"2022-06-20",30
"2022-06-21",40
"2022-06-22",33
"2022-06-23",31
"2022-06-24",28
"2022-06-25",37
"2022-06-26",57
"2022-06-27",38
"2022-06-28",43
"2022-06-29",46
"2022-06-30",49
"2022-07-01",42
"2022-07-02",41
"2022-07-03",69
"2022-07-04",72
"2022-07-05",68
"2022-07-06",63
"2022-07-07",69
"2022-07-08",45
"2022-07-09",70
"2022-07-10",56
"2022-07-11",60
"2022-07-12",51
"2022-07-13",88
"2022-07-14",67
"2022-07-15",65
"2022-07-16",61
"2022-07-17",100
"2022-07-18",64
"2022-07-19",71
"2022-07-20",66
"2022-07-21",68
"2022-07-22",61
"2022-07-23",72
"2022-07-24",94
"2022-07-25",94
"2022-07-26",105
"2022-07-27",109
"2022-07-28",80
"2022-07-29",62
"2022-07-30",105
"2022-07-31",171
"2022-08-01",135
"2022-08-02",120
"2022-08-03",98
"2022-08-04",89
"2022-08-05",86
"2022-08-06",126
"2022-08-07",166
"2022-08-08",111
"2022-08-09",118
"2022-08-10",96
"2022-08-11",101
"2022-08-12",65
"2022-08-13",71
"2022-08-14",113
"2022-08-15",89
"2022-08-16",96
"2022-08-17",102
"2022-08-18",79
"2022-08-19",58
"2022-08-20",66
"2022-08-21",117
"2022-08-22",100
"2022-08-23",69
"2022-08-24",66
"2022-08-25",77
"2022-08-26",52
"2022-08-27",74
"2022-08-28",96
"2022-08-29",80
"2022-08-30",79
"2022-08-31",71
"2022-09-01",45
"2022-09-02",40
"2022-09-03",65
"2022-09-04",73
"2022-09-05",67
"2022-09-06",59
"2022-09-07",61
"2022-09-08",54
"2022-09-09",24
"2022-09-10",37
"2022-09-11",94
"2022-09-12",61
"2022-09-13",55
"2022-09-14",46
"2022-09-15",45
"2022-09-16",33
"2022-09-17",31
"2022-09-18",55
"2022-09-19",38
"2022-09-20",57
"2022-09-21",36
"2022-09-22",35
"2022-09-23",27
"2022-09-24",31
"2022-09-25",47
"2022-09-26",46
"2022-09-27",31
